Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
fiedlerRelay03,DE,5518,224,173.249.39.41,173.249.39.41,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-06-08,CONTABO- DE,51167,18000,None
fiedlerRelay04,FR,6774,1772,51.158.175.162,162-175-158-51.rev.cloud.scaleway.com,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-06-09,AS12876- FR,12876,20000,None
fiedlerRelay05,N/A,2357,1353,93.177.66.249,v22019067744391168.ultrasrv.de,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on FreeBSD,0,0,2019-06-10,NETCUP-AS netcup GmbH- DE,197540,3920,[2a03:4000:38:186::]:9001
fiedlerRelay06,US,2448,243,168.235.82.181,vhfnr.usacee.com,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-08-18,RAMNODE - RamNode LLC- US,3842,9850,None
fiedlerRelay07,US,812,60,107.161.24.203,107.161.24.203,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on FreeBSD,0,0,2019-09-15,RAMNODE - RamNode LLC- US,3842,4600,None
Finisterre,FI,7102,509,95.216.115.85,xen2new.boughton.de,8443,None,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2014-04-08,HETZNER-AS- DE,24940,23100,[2a01:4f8:110:4421:ffff::443]:443
finn,DE,4263,2874,87.98.245.84,finn.limine.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.4.11 on Linux,0,0,2016-07-26,OVH- FR,16276,9490,None
finTor,FI,1194,89,95.217.15.125,static.125.15.217.95.clients.your-server.de,443,None,0,0,1,0,0,1,1,1,0,Tor 0.4.1.6 on Linux,0,0,2019-10-09,HETZNER-AS- DE,24940,6610,[2a01:4f9:c010:607c::1]:443
FIrelay,SC,1821,184,37.228.129.53,37.228.129.53,443,None,0,0,1,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-01-11,FLOKINET- SC,200651,4110,None
firstor,FR,4275,4878,93.115.97.242,tor5.terjan.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2015-09-17,FIRSTHEBERG- FR,197922,12800,None
