id,url,hostname,size (bytes),size (kilobytes),mimetype
27,https://mboxedge17.tt.omtrdc.net/m2/bankofamerica/mbox/json?screenHeight=947&screenWidth=1680&colorDepth=24&browserWidth=1138&browserHeight=819&browserTimeOffset=-240&mboxPage=b00fc191e177448289524d263b15cd11&mboxVersion=0.9.4&mboxHost=www.bankofamerica.com&mboxURL=https%3A%2F%2Fwww.bankofamerica.com%2F&mboxReferrer=&mboxXDomain=enabled&mboxTime=1571153986420&profile.BA_0021=null&profile.BOA_0020=20191013%3A0%3AO%3A7e445896-a936-4c78-bffc5cfe8bc3398d&profile.BOA_HPR=null&profile.state=null&profile.tc_lang=en_US&mboxMCGVID=57067221388598967501756144082019957689&mboxAAMB=RKhpRz8krg2tLO6pguXWp5olkAcUniQYPHaMWWgdJ3xzPWQmdj0y&mboxMCGLH=7&marketingCloudVisitorId=57067221388598967501756144082019957689&mboxSession=14c5a180-b42b-4c13-9acc-59b2ea2fecf9&mbox=BOA_HOME_SIGNON_ENGAGEMENTBANNER&mboxPC=77865fcf-ed1e-4a22-8ec8-c2b9c2a162bd.17_219&mboxCount=2,mboxedge17.tt.omtrdc.net,-1,-0.0009765625,application/json
28,https://mboxedge17.tt.omtrdc.net/m2/bankofamerica/mbox/json?screenHeight=947&screenWidth=1680&colorDepth=24&browserWidth=1138&browserHeight=819&browserTimeOffset=-240&mboxPage=b00fc191e177448289524d263b15cd11&mboxVersion=0.9.4&mboxHost=www.bankofamerica.com&mboxURL=https%3A%2F%2Fwww.bankofamerica.com%2F&mboxReferrer=&mboxXDomain=enabled&mboxTime=1571153986420&profile.BA_0021=null&profile.BOA_0020=20191013%3A0%3AO%3A7e445896-a936-4c78-bffc5cfe8bc3398d&profile.BOA_HPR=null&profile.state=null&profile.tc_lang=en_US&mboxMCGVID=57067221388598967501756144082019957689&mboxAAMB=RKhpRz8krg2tLO6pguXWp5olkAcUniQYPHaMWWgdJ3xzPWQmdj0y&mboxMCGLH=7&marketingCloudVisitorId=57067221388598967501756144082019957689&mboxSession=14c5a180-b42b-4c13-9acc-59b2ea2fecf9&mbox=BOA_HOME_SIGNON_SUPHIGHLIGHT_01&mboxPC=77865fcf-ed1e-4a22-8ec8-c2b9c2a162bd.17_219&mboxCount=3,mboxedge17.tt.omtrdc.net,-1,-0.0009765625,application/json
29,https://mboxedge17.tt.omtrdc.net/m2/bankofamerica/mbox/json?screenHeight=947&screenWidth=1680&colorDepth=24&browserWidth=1138&browserHeight=819&browserTimeOffset=-240&mboxPage=b00fc191e177448289524d263b15cd11&mboxVersion=0.9.4&mboxHost=www.bankofamerica.com&mboxURL=https%3A%2F%2Fwww.bankofamerica.com%2F&mboxReferrer=&mboxXDomain=enabled&mboxTime=1571153986420&profile.BA_0021=null&profile.BOA_0020=20191013%3A0%3AO%3A7e445896-a936-4c78-bffc5cfe8bc3398d&profile.BOA_HPR=null&profile.state=null&profile.tc_lang=en_US&mboxMCGVID=57067221388598967501756144082019957689&mboxAAMB=RKhpRz8krg2tLO6pguXWp5olkAcUniQYPHaMWWgdJ3xzPWQmdj0y&mboxMCGLH=7&marketingCloudVisitorId=57067221388598967501756144082019957689&mboxSession=14c5a180-b42b-4c13-9acc-59b2ea2fecf9&mbox=BOA_HOME_SIGNON_SUPHIGHLIGHT_02&mboxPC=77865fcf-ed1e-4a22-8ec8-c2b9c2a162bd.17_219&mboxCount=4,mboxedge17.tt.omtrdc.net,-1,-0.0009765625,application/json
30,https://mboxedge17.tt.omtrdc.net/m2/bankofamerica/mbox/json?screenHeight=947&screenWidth=1680&colorDepth=24&browserWidth=1138&browserHeight=819&browserTimeOffset=-240&mboxPage=b00fc191e177448289524d263b15cd11&mboxVersion=0.9.4&mboxHost=www.bankofamerica.com&mboxURL=https%3A%2F%2Fwww.bankofamerica.com%2F&mboxReferrer=&mboxXDomain=enabled&mboxTime=1571153986420&profile.BA_0021=null&profile.BOA_0020=20191013%3A0%3AO%3A7e445896-a936-4c78-bffc5cfe8bc3398d&profile.BOA_HPR=null&profile.state=null&profile.tc_lang=en_US&mboxMCGVID=57067221388598967501756144082019957689&mboxAAMB=RKhpRz8krg2tLO6pguXWp5olkAcUniQYPHaMWWgdJ3xzPWQmdj0y&mboxMCGLH=7&marketingCloudVisitorId=57067221388598967501756144082019957689&mboxSession=14c5a180-b42b-4c13-9acc-59b2ea2fecf9&mbox=BOA_HOME_SIGNON_REGHIGHLIGHT_01&mboxPC=77865fcf-ed1e-4a22-8ec8-c2b9c2a162bd.17_219&mboxCount=5,mboxedge17.tt.omtrdc.net,-1,-0.0009765625,application/json
31,https://mboxedge17.tt.omtrdc.net/m2/bankofamerica/mbox/json?screenHeight=947&screenWidth=1680&colorDepth=24&browserWidth=1138&browserHeight=819&browserTimeOffset=-240&mboxPage=b00fc191e177448289524d263b15cd11&mboxVersion=0.9.4&mboxHost=www.bankofamerica.com&mboxURL=https%3A%2F%2Fwww.bankofamerica.com%2F&mboxReferrer=&mboxXDomain=enabled&mboxTime=1571153986420&profile.BA_0021=null&profile.BOA_0020=20191013%3A0%3AO%3A7e445896-a936-4c78-bffc5cfe8bc3398d&profile.BOA_HPR=null&profile.state=null&profile.tc_lang=en_US&mboxMCGVID=57067221388598967501756144082019957689&mboxAAMB=RKhpRz8krg2tLO6pguXWp5olkAcUniQYPHaMWWgdJ3xzPWQmdj0y&mboxMCGLH=7&marketingCloudVisitorId=57067221388598967501756144082019957689&mboxSession=14c5a180-b42b-4c13-9acc-59b2ea2fecf9&mbox=BOA_HOME_SIGNON_REGHIGHLIGHT_02&mboxPC=77865fcf-ed1e-4a22-8ec8-c2b9c2a162bd.17_219&mboxCount=6,mboxedge17.tt.omtrdc.net,-1,-0.0009765625,application/json
32,https://mboxedge17.tt.omtrdc.net/m2/bankofamerica/mbox/json?screenHeight=947&screenWidth=1680&colorDepth=24&browserWidth=1138&browserHeight=819&browserTimeOffset=-240&mboxPage=b00fc191e177448289524d263b15cd11&mboxVersion=0.9.4&mboxHost=www.bankofamerica.com&mboxURL=https%3A%2F%2Fwww.bankofamerica.com%2F&mboxReferrer=&mboxXDomain=enabled&mboxTime=1571153986420&profile.BA_0021=null&profile.BOA_0020=20191013%3A0%3AO%3A7e445896-a936-4c78-bffc5cfe8bc3398d&profile.BOA_HPR=null&profile.state=null&profile.tc_lang=en_US&mboxMCGVID=57067221388598967501756144082019957689&mboxAAMB=RKhpRz8krg2tLO6pguXWp5olkAcUniQYPHaMWWgdJ3xzPWQmdj0y&mboxMCGLH=7&marketingCloudVisitorId=57067221388598967501756144082019957689&mboxSession=14c5a180-b42b-4c13-9acc-59b2ea2fecf9&mbox=BOA_HOME_SIGNON_REGHIGHLIGHT_03&mboxPC=77865fcf-ed1e-4a22-8ec8-c2b9c2a162bd.17_219&mboxCount=7,mboxedge17.tt.omtrdc.net,-1,-0.0009765625,application/json
33,https://mboxedge17.tt.omtrdc.net/m2/bankofamerica/mbox/json?screenHeight=947&screenWidth=1680&colorDepth=24&browserWidth=1138&browserHeight=819&browserTimeOffset=-240&mboxPage=b00fc191e177448289524d263b15cd11&mboxVersion=0.9.4&mboxHost=www.bankofamerica.com&mboxURL=https%3A%2F%2Fwww.bankofamerica.com%2F&mboxReferrer=&mboxXDomain=enabled&mboxTime=1571153986420&profile.BA_0021=null&profile.BOA_0020=20191013%3A0%3AO%3A7e445896-a936-4c78-bffc5cfe8bc3398d&profile.BOA_HPR=null&profile.state=null&profile.tc_lang=en_US&mboxMCGVID=57067221388598967501756144082019957689&mboxAAMB=RKhpRz8krg2tLO6pguXWp5olkAcUniQYPHaMWWgdJ3xzPWQmdj0y&mboxMCGLH=7&marketingCloudVisitorId=57067221388598967501756144082019957689&mboxSession=14c5a180-b42b-4c13-9acc-59b2ea2fecf9&mbox=BOA_HOME_SIGNON_REGHIGHLIGHT_04&mboxPC=77865fcf-ed1e-4a22-8ec8-c2b9c2a162bd.17_219&mboxCount=8,mboxedge17.tt.omtrdc.net,-1,-0.0009765625,application/json
34,https://www2.bac-assets.com/homepage/spa-assets/components/utilities/global/sparta-validation-framework/7.0.6/data/en/messages.json,www2.bac-assets.com,0,0.0,application/json
35,https://www2.bac-assets.com/homepage/spa-assets/components/utilities/global/sparta-input-utility/12.1.1/data/en/inputs.json,www2.bac-assets.com,0,0.0,application/json
36,https://secure.bankofamerica.com/login/sign-in/entry/cc.go,secure.bankofamerica.com,-1,-0.0009765625,text/text
